exp.ID,P.layer,P.row,P.col,layer,row,col,replicate,replicate.raw,Generation,treat,treat.1,ecotype,id,flt,height,diam,biomass,fruit,rm
129,11,11_7,11,2,2,14,6,6,F2,Cd1,Cd1,aaCol-0,865,24,58.2,9.7,186.2,276,FALSE
130,7,7_2,11,14,3,13,4,4,F2,Cd1,Cd1,Dja-1,459,20,22.9,8.9,257.6,405,FALSE
131,9,9_2,12,14,6,14,5,5,F2,Cd1,Cd1,Dja-1,628,19,21.4,8,203.5,323,FALSE
132,11,11_7,7,3,4,12,6,6,F2,Cd1,Cd1,Dja-1,861,22,24.2,9.4,212.5,245,FALSE
133,7,7_2,2,1,4,3,4,4,F2,Cd1,Cd1,Fei-0,450,42,60.9,12,542.2,311,FALSE
134,9,9_2,10,16,3,5,5,5,F2,Cd1,Cd1,Fei-0,626,40,52.8,7.5,273.3,187,FALSE
135,11,11_7,9,13,3,1,6,6,F2,Cd1,Cd1,Fei-0,863,21,35.1,10,204.8,525,FALSE
136,7,7_2,14,5,3,1,4,4,F2,Cd1,Cd1,Ler-0,462,19,NA,NA,90.7,NA,FALSE
137,9,9_2,3,10,2,12,5,5,F2,Cd1,Cd1,Ler-0,619,18,24.3,6.6,182.3,175,FALSE
138,11,11_7,10,11,4,9,6,6,F2,Cd1,Cd1,Ler-0,864,16,24.9,7.1,267.1,215,FALSE
139,7,7_2,1,3,1,6,4,4,F2,Cd1,Cd1,Sap-0,449,24,36.9,7.7,NA,159,FALSE
140,9,9_2,6,15,6,15,5,5,F2,Cd1,Cd1,Sap-0,622,23,32.8,5.4,97.8,158,FALSE
141,11,11_7,13,13,5,4,6,6,F2,Cd1,Cd1,Sap-0,867,28,38.8,5.8,176.8,303,FALSE
142,7,7_2,5,1,1,7,4,4,F2,Cd1,Cd1,Tol-0,453,30,50.2,8.2,224.5,232,FALSE
143,9,9_2,9,12,1,7,5,5,F2,Cd1,Cd1,Tol-0,625,29,52.5,10.9,334.2,367,FALSE
144,11,11_7,3,9,3,2,6,6,F2,Cd1,Cd1,Tol-0,857,28,51.2,11.2,402.7,353,FALSE
145,7,7_2,10,10,4,15,4,4,F2,Cd1,Cd1,TRE-1,458,53,46.4,12.4,NA,200,FALSE
146,9,9_2,13,8,4,10,5,5,F2,Cd1,Cd1,TRE-1,629,21,48.9,8.6,241.7,319,FALSE
147,11,11_7,14,8,3,14,6,6,F2,Cd1,Cd1,TRE-1,868,23,50.7,8.1,241.1,284,FALSE
148,7,7_2,7,2,6,14,4,4,F2,Cd1,Cd1,Tri-0,455,24,39.3,11,181.5,350,FALSE
