ecotype,treat,gen,trait,Estimate,Std.Error,df,tvalue,Pvalue
Ler-0,Drought,F4,flt,-0.719029588426961,4.73831176422097,77.9643574098764,-0.151748053780749,0.879777644541549
Sap-0,Drought,F4,flt,11.5216550095323,4.10431881774011,77.9367643345087,2.80720273477104,0.00631082613773128
Tol-0,Drought,F4,flt,-2.2237411183563,4.26418787140056,77.9153047392285,-0.521492294762781,0.603503093465745
TRE-1,Drought,F4,flt,10.3358446384389,4.05558653737278,77.9255301697288,2.54854496216334,0.0127827862013088
Tri-0,Drought,F4,flt,0.120778620982008,4.23272099658483,77.6940795358851,0.0285345103254995,0.977309013175597
aaCol-0,Salt1,F1,flt,5.14915753046933,3.7463110049105,62.0000000000631,1.37446077587259,0.174246546593955
Abd-0,Salt1,F1,flt,-3.87528508650309,3.75514476873535,62.0000000000154,-1.03199352492826,0.306084086354282
Ang-0,Salt1,F1,flt,-1.6152462164501,3.95876719970784,62.0000000004142,-0.408017479928929,0.68466647820668
Dja-1,Salt1,F1,flt,-0.630709368499737,4.05731932278019,62.0000000002944,-0.155449773193488,0.876971748716995
Sap-0,Salt1,F1,flt,-13.0179986580071,5.35308666670571,62.0000000000919,-2.43186771829689,0.017923161846494
Tol-0,Salt1,F1,flt,-6.4222501439057,3.77141705323596,62.0000000000021,-1.7028745570303,0.0936003197415163
TRE-1,Salt1,F1,flt,-3.74238076340652,3.76067980891287,62.0000000003651,-0.99513411233177,0.323539107328092
aaCol-0,Salt1,F2,flt,3.42690127746789,3.11371255791694,79.0363788132739,1.10058369670464,0.274418605295106
Abd-0,Salt1,F2,flt,-0.959267858723395,3.24945586892032,76.606127771076,-0.295208766457914,0.768633028047163
Ang-0,Salt1,F2,flt,-2.09824228789771,3.05084794004697,78.8024210456603,-0.687757085613846,0.493625196661602
Dja-1,Salt1,F2,flt,-2.83312371870927,3.21182897972556,78.8685023213292,-0.882090465150281,0.380408433650355
Fei-0,Salt1,F2,flt,7.31086261555168,3.22506713408342,79.8637787609441,2.26688695509263,0.0261012628772529
Ler-0,Salt1,F2,flt,0.191708409931351,3.16561962069886,80.2815325113032,0.0605595216424102,0.951860516548751
Sap-0,Salt1,F2,flt,5.50261552647053,3.2355451859994,77.9249898701547,1.70067645795244,0.0929915599660294
Tol-0,Salt1,F2,flt,-4.79134472894828,3.1813756025542,79.5057412987273,-1.50606068805629,0.136014512845081
TRE-1,Salt1,F2,flt,1.1820931685526,3.28946078137707,77.6215460806625,0.359357732806815,0.720303251294176
Tri-0,Salt1,F2,flt,0.521770353187271,3.22085939019954,77.9118018511658,0.161997246689787,0.87172740894961
aaCol-0,Salt1,F3,flt,2.72693987674147,4.34693350007503,77.7055674872988,0.627324958317031,0.532285297414069
Abd-0,Salt1,F3,flt,5.68360023046812,4.43922940172643,77.6559427400923,1.28031235066558,0.204246473200085
Ang-0,Salt1,F3,flt,7.62743809252624,4.23504803226454,75.6824910484953,1.80102752894818,0.0756820233023533
Dja-1,Salt1,F3,flt,0.0996465172494276,4.47286023699067,75.9455955832759,0.022278030604522,0.982284603400346
Fei-0,Salt1,F3,flt,3.01431846941154,4.65349275313578,71.7127771560398,0.647753983796434,0.51921254242022
Ler-0,Salt1,F3,flt,-0.399858096681594,4.50195801935716,79.235262029792,-0.0888187084291581,0.92945010149219
Sap-0,Salt1,F3,flt,-0.328117413667401,4.53804343856642,78.3482049872056,-0.0723037181352001,0.942544467070485
Tol-0,Salt1,F3,flt,3.58952491445827,4.37377748828339,75.1870222921771,0.820692164627487,0.41441610021412
TRE-1,Salt1,F3,flt,0.108586041300818,4.76292283051544,76.681622115463,0.0227981945466597,0.981870470014921
