ecotype,treat,gen,trait,Estimate,Std.Error,df,tvalue,Pvalue
Tri-0,Drought,F2,flt,2.62290611279125,1.96448992943173,208.999999998197,1.33515884886719,0.183276784379252
Ws-2,Drought,F2,flt,2.077282468237,1.92177507176012,208.999999998816,1.08091862505764,0.280978995551105
aaCol-0,Drought,F3,flt,-0.102656121887387,2.65361981556794,206.999999997747,-0.0386853162932896,0.969178564004801
Abd-0,Drought,F3,flt,-0.0848089414615245,2.58956483056661,206.999999996376,-0.0327502677131152,0.973905294343737
Ang-0,Drought,F3,flt,-0.879740967856566,2.58394468775243,206.999999997754,-0.34046431877061,0.733852154372992
Dja-1,Drought,F3,flt,-1.24162284746872,2.5694597907879,206.999999997489,-0.483223303170658,0.629447898575674
En-1,Drought,F3,flt,0.231205665549585,2.57103829287249,206.999999996724,0.0899269630446735,0.92843220587007
Fei-0,Drought,F3,flt,-3.20135410962442,2.67948817080279,206.999999997066,-1.19476329267215,0.233546655086936
Kar-1,Drought,F3,flt,-1.53942746889271,2.63628968025475,206.99999999779,-0.583937144852744,0.55989837442627
Ler-0,Drought,F3,flt,-0.0842451665037281,2.60971282754108,206.999999997397,-0.0322813934217832,0.97427875192167
Olympia-2,Drought,F3,flt,0.703536282928362,2.56520368834927,206.99999999684,0.274261371961886,0.784157268223365
Sap-0,Drought,F3,flt,5.51527468232733,2.60940521475897,206.999999995591,2.11361372742438,0.035745697519387
Tol-0,Drought,F3,flt,-2.40507931924804,2.57935093032768,206.999999996444,-0.932435866314051,0.352197602022916
TRE-1,Drought,F3,flt,-4.08336836541334,2.56846364153367,206.9999999968,-1.58980968209272,0.113403815091411
Tri-0,Drought,F3,flt,-0.106007620454741,2.63159523311052,206.999999996182,-0.0402826464803409,0.967906613995533
Ws-2,Drought,F3,flt,-1.49351369529858,2.5820432196135,206.999999997832,-0.578423197549008,0.563607210422311
aaCol-0,Drought,F4,flt,0.0520747363697855,3.45195060663222,195.502899226372,0.0150855971895237,0.987979275076978
Abd-0,Drought,F4,flt,-7.69172885056766,4.37960664520072,193.725950197786,-1.75626020181434,0.0806241306854489
Ang-0,Drought,F4,flt,3.64181580927929,3.33812827643761,194.754276035025,1.09097539330207,0.276631605272919
Dja-1,Drought,F4,flt,0.153590472507642,3.35026870665463,194.839953321187,0.0458442250326268,0.963481362137167
En-1,Drought,F4,flt,1.37850661392772,3.35456170712471,195.392757344047,0.410934940025078,0.681570560003284
Fei-0,Drought,F4,flt,2.39275710336464,3.42900587090606,194.966806825008,0.697799068723201,0.48613420752591
Kar-1,Drought,F4,flt,-1.87581188383012,3.41485350343276,194.544278269311,-0.549309621026049,0.583422952943168
Ler-0,Drought,F4,flt,-1.25126610391646,3.44992363799529,195.13709417548,-0.362693855056906,0.717226124397646
Olympia-2,Drought,F4,flt,-4.79267447476511,3.55070497923753,195.208091202232,-1.34978110059549,0.178649356220176
Sap-0,Drought,F4,flt,7.72039828146072,3.3215061604102,195.51266513357,2.32436669047371,0.0211328914661232
Tol-0,Drought,F4,flt,-0.484077407055416,3.45347749135113,194.850267677728,-0.140171003942472,0.888669670576454
TRE-1,Drought,F4,flt,7.11672398430103,3.46723013274975,195.04287908949,2.05256752849485,0.0414499583842185
Tri-0,Drought,F4,flt,1.31910129970335,3.36749995885605,195.597981122082,0.391715312789922,0.695695002887481
Ws-2,Drought,F4,flt,1.80846373806491,3.31814498654184,195.13494221885,0.545022518726551,0.586360404569744
