"","gen","trait","Estimate","Std. Error","df","t value","Pr(>|t|)","ecotype","treat"
"ecotypeTri-1:treat.1Nutrient24","Anc","fruit",35.5544566543295,38.556237801127,670.989574420932,0.922145382485689,0.356784194430528,"Tri-1","Nutrient2"
"ecotypeWs-2:treat.1Nutrient24","Anc","fruit",-61.6163323262785,36.5795654525332,662.014912892053,-1.6844468096876,0.0925666980191979,"Ws-2","Nutrient2"
"ecotypeaaCol-0:treat.1Salt14","Anc","fruit",-90.1068941935723,37.0949735793566,662.383773699899,-2.42908635588615,0.0154018754848204,"aaCol-0","Salt1"
"ecotypeAbd-0:treat.1Salt14","Anc","fruit",-99.7199882621777,39.3852393201551,669.419341370139,-2.53191271612121,0.0115718056299231,"Abd-0","Salt1"
"ecotypeAng-1:treat.1Salt14","Anc","fruit",-102.267171909565,37.0950421593933,662.396888111217,-2.75689596119434,0.00599599924980248,"Ang-1","Salt1"
"ecotypeDja-1:treat.1Salt14","Anc","fruit",-15.7391392185069,42.1380130742593,677.44736174706,-0.373514033297442,0.708882757438937,"Dja-1","Salt1"
"ecotypeEn-1:treat.1Salt14","Anc","fruit",-73.8836676737213,36.5795654525332,662.014912819348,-2.01980714531984,0.0438057571992114,"En-1","Salt1"
"ecotypeFei-0:treat.1Salt14","Anc","fruit",-167.033602046476,40.7041524830447,673.020095272104,-4.10360102979798,4.56670462524784e-05,"Fei-0","Salt1"
"ecotypeKar-1:treat.1Salt14","Anc","fruit",-164.694894279415,37.7563088061541,666.486536318921,-4.36204966764574,1.49266177935034e-05,"Kar-1","Salt1"
"ecotypeLer-0:treat.1Salt14","Anc","fruit",-69.9923020014831,37.7567794874983,666.573560756416,-1.85376779883089,0.0642139793298118,"Ler-0","Salt1"
"ecotypeOlympia-0:treat.1Salt14","Anc","fruit",-194.467001007055,36.5795654525332,662.014912827168,-5.31627422582154,1.4497500688232e-07,"Olympia-0","Salt1"
"ecotypeSap-0:treat.1Salt14","Anc","fruit",-28.8090523739337,43.1516618694818,678.127202030468,-0.667623241512012,0.504601251223392,"Sap-0","Salt1"
"ecotypeTol-0:treat.1Salt14","Anc","fruit",-53.221272618951,39.3857204640471,669.511542753473,-1.35128345989084,0.177061070982629,"Tol-0","Salt1"
"ecotypeTRE-1:treat.1Salt14","Anc","fruit",-48.9670010070547,36.5795654525332,662.014912928499,-1.33864359516779,0.181146240601097,"TRE-1","Salt1"
"ecotypeTri-1:treat.1Salt14","Anc","fruit",-68.2128786931134,38.4914467826891,666.855647462308,-1.77215678792804,0.0768250767695577,"Tri-1","Salt1"
