layer,P.layer,P.row,replicate,Row,Col,treat.1,Generation,ecotype,treat,flt,height,diam,biomass,fruit,rm,id
6,5,5_1,3,3,5,Salt1,F2,aaCol-0,Salt1,28,41.1,10.1,269.9,257,FALSE,338
6,5,5_2,3,5,5,JActr,F2,aaCol-0,JActr,28,36.7,9,245.7,138,FALSE,363
2,5,5_3,3,4,10,Cd1,F2,aaCol-0,Cd1,31,36.2,9.9,237.7,181,FALSE,367
6,5,5_4,3,5,13,Cd2,F2,aaCol-0,Cd2,29,39.1,10.7,286.2,167,FALSE,390
6,5,5_5,3,3,2,JA,F2,aaCol-0,JA,29,37.7,8,188.6,132,FALSE,401
2,5,5_6,3,1,9,Salt2,F2,aaCol-0,Salt2,33,35,7.9,208.2,144,FALSE,413
2,5,5_7,3,6,3,actr,F2,aaCol-0,actr1,33,40.6,9.2,219.3,175,FALSE,434
3,7,7_1,4,4,4,Cd2,F2,aaCol-0,Cd2,33,32.8,8.8,223.7,160,FALSE,438
8,7,7_2,4,1,2,Cd1,F2,aaCol-0,Cd1,28,39.7,8.7,191.7,222,FALSE,457
8,7,7_3,4,3,5,JA,F2,aaCol-0,JA,27,37.7,9.5,203.3,252,FALSE,468
8,7,7_4,4,3,6,actr,F2,aaCol-0,actr1,27,31,8.2,111,107,FALSE,482
8,7,7_5,4,5,8,Salt1,F2,aaCol-0,Salt1,28,38.3,10,231.4,180,FALSE,491
3,7,7_6,4,2,8,JActr,F2,aaCol-0,JActr,31,39.1,8.9,258.9,195,FALSE,516
8,7,7_7,4,3,14,Salt2,F2,aaCol-0,Salt2,30,54.5,12.3,255.2,183,FALSE,523
8,8,8_1,4,1,3,Drought,F2,aaCol-0,Drought,31,34.7,10.3,219.8,214,FALSE,536
8,8,8_2,4,4,2,Nutrient1,F2,aaCol-0,Nutrient1,30,37,9.3,258.4,276,FALSE,548
3,8,8_3,4,3,1,Nutrient2,F2,aaCol-0,Nutrient2,33,34.9,8.6,208.2,164,FALSE,573
3,8,8_6,4,2,11,Leaf,F2,aaCol-0,Leaf,30,35.6,8.9,205.1,215,FALSE,583
8,8,8_7,4,6,8,actr,F2,aaCol-0,actr2,27,38.4,9.7,291.2,185,FALSE,598
9,9,9_1,5,5,6,actr,F2,aaCol-0,actr1,28,37,10.5,279.9,169,FALSE,606
11,9,9_2,5,6,11,Cd1,F2,aaCol-0,Cd1,33,46,8.9,254.4,194,FALSE,624
11,9,9_3,5,2,3,Cd2,F2,aaCol-0,Cd2,29,36.4,11.3,278.9,173,FALSE,640
11,9,9_4,5,6,2,Salt1,F2,aaCol-0,Salt1,29,43.7,10,310.1,230,FALSE,646
11,9,9_5,5,2,2,Salt2,F2,aaCol-0,Salt2,28,50.5,10.6,215.8,167,FALSE,667
9,9,9_6,5,6,4,JA,F2,aaCol-0,JA,28,39.6,9.5,246.6,168,FALSE,682
11,9,9_7,5,3,2,JActr,F2,aaCol-0,JActr,28,40.8,10,251.1,163,FALSE,693
11,10,10_1,5,3,7,actr,F2,aaCol-0,actr2,28,39.3,9.1,251.9,174,FALSE,704
11,10,10_2,5,1,7,Drought,F2,aaCol-0,Drought,30,38.5,9.9,229.5,150,FALSE,719
9,10,10_3,5,1,8,Nutrient2,F2,aaCol-0,Nutrient2,29,40.7,10.5,325,309,FALSE,742
11,10,10_4,5,6,10,Leaf,F2,aaCol-0,Leaf,29,37.4,8.5,215.5,153,FALSE,748
11,10,10_5,5,4,10,Nutrient1,F2,aaCol-0,Nutrient1,31,41.6,8.1,251.1,195,FALSE,764
4,11,11_1,6,6,13,actr,F2,aaCol-0,actr1,32,33.3,8.4,133,135,FALSE,774
